"Rank","Player","Team","Positions","Best","Worst","Avg","Std Dev"
"90","Al Horford","BOS","PF,C DTD","74","109","96.1","10.9"
"91","Harrison Barnes","SAC","SF,PF","85","118","98.0","9.7"
"92","Kyle Kuzma","WAS","SF,PF DTD","87","125","98.9","12.1"
"93","Ivica Zubac","LAC","C DTD","56","126","99.0","21.6"
"94","Mike Conley","UTH","PG","75","125","99.3","18.7"
"95","Brandon Clarke","MEM","SF,PF,C","58","176","102.1","38.5"
"96","Bobby Portis Jr.","MIL","PF,C","90","119","103.0","9.2"
"97","Isaiah Stewart","DET","PF,C","71","117","103.1","14.7"
"98","Brook Lopez","MIL","C","85","125","103.6","15.7"
"99","Robert Covington","LAC","PF,C,SF DTD","72","151","103.9","24.5"
"100","Norman Powell","LAC","SG,SF DTD","70","137","105.1","21.8"
"101","Bogdan Bogdanovic","ATL","SF,PF,SG DTD","63","146","107.0","27.8"
"102","Kevin Porter Jr.","HOU","SG,SF,PG DTD","77","168","107.4","27.3"
"103","Lauri Markkanen","UTH","PF,C","96","128","109.6","11.0"
"104","Spencer Dinwiddie","DAL","PG,SG","84","144","109.7","19.3"
"105","Alperen Sengun","HOU","C","52","211","110.1","51.8"
"106","Jaren Jackson Jr.","MEM","PF,C OUT","42","216","110.4","59.1"
"107","Jalen Brunson","NYK","PG,SG","55","237","110.9","59.2"
"108","Gary Trent Jr.","TOR","SG,SF DTD","72","147","112.9","21.8"
"109","Jamal Murray","DEN","PG,SG","57","197","116.1","42.8"
"110","Mo Bamba","ORL","C","74","176","119.6","33.4"
"111","Caris LeVert","CLE","SG,SF DTD","78","180","120.1","33.1"
"112","Derrick White","BOS","PG,SG","69","157","122.7","29.2"
"113","Bojan Bogdanovic","UTH","SF,PF DTD","97","147","123.3","17.5"
"114","Reggie Jackson","LAC","PG,SG","105","150","127.0","17.0"
"115","De'Anthony Melton","PHI","PG,SG","94","150","129.9","18.6"
"116","De'Andre Hunter","ATL","SF,PF DTD","85","196","130.0","32.6"
"117","Jordan Clarkson","UTH","PG,SG DTD","95","176","130.0","26.1"
"118","Dorian Finney-Smith","DAL","SF,PF","94","153","130.3","16.9"
"119","Jaden McDaniels","MIN","PF,SF","117","149","130.7","12.4"
"120","Kyle Anderson","MIN","SF,PF","90","167","131.6","26.5"
"121","Jalen Suggs","ORL","PG,SG DTD","93","186","132.4","29.6"
"122","Richaun Holmes","SAC","PF,C DTD","37","228","132.7","59.3"
"123","Aaron Gordon","DEN","SF,PF DTD","104","153","132.9","14.7"
"124","Jae'Sean Tate","HOU","SF,PF DTD","113","184","134.4","21.6"
"125","Chris Boucher","TOR","PF,C","77","211","136.9","39.1"
"126","Will Barton","WAS","SG,SF","115","166","137.6","19.0"
"127","Dillon Brooks","MEM","SG,SF","123","163","137.9","12.4"
"128","Nic Claxton","BKN","C,PF DTD","112","161","138.4","18.5"
"129","Josh Hart","POR","SG,SF DTD","106","226","139.7","39.7"
"130","Cole Anthony","ORL","PG DTD","119","178","139.7","20.7"
"131","Daniel Gafford","WAS","C,PF","100","165","140.1","19.5"
"132","Steven Adams","MEM","C DTD","114","180","141.4","20.4"
"133","Monte Morris","WAS","PG,SG","82","181","142.0","38.4"
"134","Evan Fournier","NYK","SG,SF","91","205","142.0","35.4"
"135","Patrick Williams","CHI","SF,PF","128","162","142.7","9.9"
"136","Royce O'Neale","BKN","SF,PF","103","200","144.6","27.0"
"137","Cameron Johnson","PHO","SF,PF","126","191","145.1","21.1"
"138","Paolo Banchero","ORL","PF","60","214","117.8","67.9"
"139","Kelly Oubre Jr.","CHA","SG,SF,PF","129","163","148.7","12.9"
"140","Mason Plumlee","CHA","PF,C","108","186","150.0","24.2"
"141","John Wall","LAC","PG","94","237","150.7","41.1"
"142","Devonte' Graham","NOR","PG,SG","98","252","156.4","52.2"
"143","Malik Beasley","UTH","PG,SG,SF","122","220","158.3","38.4"
"144","Jonathan Isaac","ORL","SF,PF OUT","117","272","159.0","49.6"
"145","Chuma Okeke","ORL","PF DTD","127","215","159.4","28.4"
"146","Keegan Murray","SAC","PF","60","239","131.0","76.6"
"147","Kevin Huerter","SAC","SG,SF","142","175","160.4","11.6"
"148","T.J. McConnell","IND","PG,SG DTD","109","252","160.9","46.9"
"149","Luguentz Dort","OKC","SG,SF","145","191","162.1","16.2"
"150","Andre Drummond","CHI","C","133","181","162.4","15.5"
"151","Seth Curry","BKN","PG,SG DTD","152","188","164.4","13.0"
"152","Aleksej Pokusevski","OKC","SF,PF","126","208","165.0","30.7"
"153","Marvin Bagley III","DET","PF,C","107","195","165.6","27.4"
"154","Tim Hardaway Jr.","DAL","SG,SF","138","190","165.6","18.3"
"155","Joe Harris","BKN","SG,SF","118","239","168.3","37.6"
"156","Matisse Thybulle","PHI","SG,SF DTD","150","187","168.7","10.2"
"157","James Wiseman","GSW","C","136","241","169.1","31.9"
"158","Markelle Fultz","ORL","PG,SG DTD","118","214","169.9","37.5"
"159","Thomas Bryant","LAL","C","135","202","172.3","19.8"
"160","Duncan Robinson","MIA","SG,SF DTD","121","221","173.7","34.0"
"161","Kelly Olynyk","DET","PF,C","94","282","176.7","58.3"
"162","Isaiah Roby","SAS","C,PF","134","254","176.9","41.0"
"163","Kevin Love","CLE","PF,C","152","208","180.0","19.0"
"164","Donte DiVincenzo","GSW","PG,SG","151","222","180.1","25.1"
"165","Nerlens Noel","DET","PF,C","104","285","180.4","63.3"
"166","Jae Crowder","PHO","SF,PF DTD","163","205","180.4","14.2"
"167","Larry Nance Jr.","NOR","PF,C","123","230","181.3","33.4"
"168","Marcus Morris Sr.","LAC","PF,C,SF","133","247","183.6","38.1"
"169","Immanuel Quickley","NYK","PG","145","224","187.4","22.6"
"170","Obi Toppin","NYK","SF,PF DTD","140","244","190.7","31.9"
"171","Victor Oladipo","MIA","SG,SF","166","209","190.7","16.6"
"172","Darius Bazley","OKC","SF,PF OUT","172","210","191.6","10.5"
"173","Miles Bridges","CHA","SF,PF","68","331","169.5","108.6"
"174","Bruce Brown Jr.","BKN","SG,SF","130","253","192.9","47.3"
